ORGANIZATION,TOTAL,PREDICTION
PartyC,1618,MEDIUM
PartyC,1950,MEDIUM
PartyB,7458,LOW
PartyD,5926,LOW
PartyD,5243,LOW
PartyC,7260,LOW
PartyC,6671,LOW
PartyA,7028,LOW
PartyB,2293,MEDIUM
PartyA,6574,LOW
PartyB,6215,LOW
PartyD,1593,MEDIUM
PartyB,1916,MEDIUM
PartyA,7213,LOW
PartyA,5272,LOW
PartyD,5871,LOW
PartyB,6882,LOW
PartyB,6664,LOW
PartyA,1097,MEDIUM
PartyC,2424,MEDIUM
PartyD,6393,LOW
PartyA,6786,LOW
PartyB,6052,LOW
PartyB,5818,LOW
PartyD,7419,LOW
PartyD,1157,MEDIUM
PartyD,6267,LOW
PartyA,-4700,VERY HIGH
PartyD,5287,LOW
PartyC,6536,LOW
PartyA,2263,MEDIUM
PartyD,7459,LOW
PartyB,6093,LOW
PartyC,1000,MEDIUM
PartyA,6096,LOW
PartyC,7942,LOW
PartyD,5929,LOW
PartyA,5800,LOW
PartyC,5045,LOW
PartyB,5354,LOW
PartyB,-6240,VERY HIGH
PartyC,2006,MEDIUM
PartyB,5427,LOW
PartyA,6214,LOW
PartyA,1482,MEDIUM
PartyD,7956,LOW
PartyA,5981,LOW
PartyC,1845,MEDIUM
PartyD,7293,LOW
PartyB,2240,MEDIUM
PartyD,6250,LOW
PartyB,5658,LOW
PartyB,5621,LOW
PartyB,6758,LOW
PartyC,6532,LOW
PartyB,6870,LOW
PartyD,2148,MEDIUM
PartyA,5087,LOW
PartyB,7275,LOW
PartyA,-40,VERY HIGH
PartyC,101,HIGH
PartyC,1210,MEDIUM
PartyC,5160,LOW
PartyB,5418,LOW
PartyC,1238,MEDIUM
PartyA,5842,LOW
PartyB,6961,LOW
PartyC,73,HIGH
PartyC,1000,MEDIUM
PartyA,7234,LOW
PartyB,-6840,VERY HIGH
PartyC,398,HIGH
PartyD,-2425,VERY HIGH
PartyB,1201,MEDIUM
PartyB,7596,LOW
PartyD,6795,LOW
PartyD,7328,LOW
PartyD,1728,MEDIUM
PartyC,1989,MEDIUM
PartyD,2066,MEDIUM
PartyC,-1670,VERY HIGH
PartyC,7304,LOW
PartyB,2113,MEDIUM
PartyC,6615,LOW
PartyC,6424,LOW
PartyB,5292,LOW
PartyB,1834,MEDIUM
PartyB,-2325,VERY HIGH
PartyD,5299,LOW
PartyB,5801,LOW
PartyC,7542,LOW
PartyB,150,HIGH
PartyD,5111,LOW
PartyD,1362,MEDIUM
PartyD,-7360,VERY HIGH
PartyC,6622,LOW
PartyB,-5520,VERY HIGH
PartyB,2032,MEDIUM
PartyA,-120,VERY HIGH
PartyA,61,HIGH
PartyC,5810,LOW
PartyC,7361,LOW
PartyC,46,HIGH
PartyD,5000,LOW
PartyC,1000,MEDIUM
PartyD,5379,LOW
PartyA,6358,LOW
PartyD,6984,LOW
PartyD,6371,LOW
PartyD,6059,LOW
PartyB,6069,LOW
PartyA,1296,MEDIUM
PartyB,-310,VERY HIGH
PartyD,7035,LOW
PartyC,5306,LOW
PartyB,7296,LOW
PartyB,1585,MEDIUM
PartyA,1924,MEDIUM
PartyA,37,HIGH
PartyA,5863,LOW
PartyD,1316,MEDIUM
PartyA,1200,MEDIUM
PartyB,1862,MEDIUM
PartyC,7350,LOW
PartyC,1264,MEDIUM
PartyD,6301,LOW
PartyD,5862,LOW
PartyA,5504,LOW
PartyA,6,HIGH
PartyD,1081,MEDIUM
PartyC,6214,LOW
PartyA,-120,VERY HIGH
PartyD,2302,MEDIUM
PartyA,2318,MEDIUM
PartyC,404,HIGH
PartyA,6585,LOW
PartyA,6144,LOW
PartyC,5148,LOW
PartyC,-3320,VERY HIGH
PartyB,5814,LOW
PartyB,5830,LOW
PartyB,5886,LOW
PartyC,-6340,VERY HIGH
PartyC,5092,LOW
PartyD,1711,MEDIUM
PartyD,6668,LOW
PartyD,-110,VERY HIGH
PartyA,1098,MEDIUM
PartyB,6816,LOW
PartyC,5252,LOW
PartyB,2454,MEDIUM
PartyD,1924,MEDIUM
PartyB,6200,LOW
PartyB,-1860,VERY HIGH
PartyB,1518,MEDIUM
PartyC,6046,LOW
PartyD,172,HIGH
PartyA,5628,LOW
PartyB,0,HIGH
PartyA,-4740,VERY HIGH
PartyB,6449,LOW
PartyC,6921,LOW
PartyA,-120,VERY HIGH
PartyD,1154,MEDIUM
PartyB,7616,LOW
PartyA,380,HIGH
PartyA,1709,MEDIUM
PartyA,5933,LOW
PartyA,1548,MEDIUM
PartyC,5928,LOW
PartyB,135,HIGH
PartyD,1959,MEDIUM
PartyD,1986,MEDIUM
PartyA,-2260,VERY HIGH
PartyC,6944,LOW
PartyB,5049,LOW
PartyD,6758,LOW
PartyD,2444,MEDIUM
PartyA,2396,MEDIUM
PartyD,5000,LOW
PartyB,1816,MEDIUM
PartyD,5940,LOW
PartyC,6310,LOW
PartyB,1964,MEDIUM
PartyA,6413,LOW
PartyD,5000,LOW
PartyC,5848,LOW
PartyC,1219,MEDIUM
PartyC,129,HIGH
PartyA,1691,MEDIUM
PartyC,6372,LOW
PartyB,0,HIGH
PartyB,2308,MEDIUM
PartyC,5503,LOW
PartyC,7976,LOW
PartyA,-120,VERY HIGH
PartyB,2440,MEDIUM
PartyB,6023,LOW
PartyA,-120,VERY HIGH
PartyB,2162,MEDIUM
PartyD,7596,LOW
PartyA,6108,LOW
PartyC,-2320,VERY HIGH
PartyA,6327,LOW
PartyA,1761,MEDIUM
PartyD,-420,VERY HIGH
PartyA,6468,LOW
PartyA,17,HIGH
PartyA,6958,LOW
PartyC,7248,LOW
PartyB,1962,MEDIUM
PartyA,7312,LOW
PartyC,2423,MEDIUM
PartyB,206,HIGH
PartyA,5063,LOW
PartyD,348,HIGH
PartyA,5592,LOW
PartyD,5878,LOW
PartyD,1581,MEDIUM
PartyD,5000,LOW
PartyD,1234,MEDIUM
PartyA,7257,LOW
PartyB,7504,LOW
PartyA,6674,LOW
PartyC,1762,MEDIUM
PartyB,1798,MEDIUM
PartyB,7472,LOW
PartyC,5576,LOW
PartyD,6063,LOW
PartyD,-3480,VERY HIGH
PartyA,-450,VERY HIGH
PartyA,6905,LOW
PartyB,5050,LOW
PartyB,7169,LOW
PartyD,2425,MEDIUM
PartyA,2397,MEDIUM
PartyB,-400,VERY HIGH
PartyD,5442,LOW
PartyD,1552,MEDIUM
PartyC,1053,MEDIUM
PartyC,1696,MEDIUM
PartyA,5392,LOW
PartyD,6384,LOW
PartyD,6597,LOW
PartyA,5462,LOW
PartyA,1986,MEDIUM
PartyB,-6420,VERY HIGH
PartyD,2322,MEDIUM
PartyC,6922,LOW
PartyA,-2350,VERY HIGH
PartyB,-280,VERY HIGH
PartyD,68,HIGH
PartyB,7451,LOW
PartyD,58,HIGH
PartyC,6412,LOW
PartyB,1125,MEDIUM
PartyC,2010,MEDIUM
PartyD,5880,LOW
PartyC,5832,LOW
PartyC,7894,LOW
PartyC,6060,LOW
PartyD,-260,VERY HIGH
PartyC,2014,MEDIUM
PartyA,6084,LOW
PartyD,5331,LOW
PartyA,1244,MEDIUM
PartyA,1440,MEDIUM
PartyC,2287,MEDIUM
PartyB,5554,LOW
PartyC,2299,MEDIUM
PartyA,7311,LOW
PartyC,1129,MEDIUM
PartyA,6260,LOW
PartyC,1551,MEDIUM
PartyC,5487,LOW
PartyD,6302,LOW
PartyD,5169,LOW
PartyD,7219,LOW
PartyC,7484,LOW
PartyA,6556,LOW
PartyD,5000,LOW
PartyB,1466,MEDIUM
PartyD,1282,MEDIUM
PartyA,2216,MEDIUM
PartyD,68,HIGH
PartyD,6256,LOW
PartyC,1314,MEDIUM
PartyD,1976,MEDIUM
PartyC,6250,LOW
PartyB,7008,LOW
PartyA,-1820,VERY HIGH
PartyC,6924,LOW
PartyC,1505,MEDIUM
PartyB,7120,LOW
PartyB,0,HIGH
PartyA,5018,LOW
PartyD,1071,MEDIUM
PartyD,7369,LOW
PartyC,6306,LOW
PartyD,7336,LOW
PartyB,5526,LOW
PartyA,-120,VERY HIGH
PartyD,6581,LOW
PartyA,1903,MEDIUM
PartyA,5596,LOW
PartyD,7085,LOW
PartyB,5608,LOW
PartyC,6538,LOW
PartyA,1160,MEDIUM
PartyD,5292,LOW
PartyB,1977,MEDIUM
PartyD,6958,LOW
PartyD,6024,LOW
PartyD,2362,MEDIUM
PartyD,2238,MEDIUM
PartyC,1761,MEDIUM
PartyC,7436,LOW
PartyA,6630,LOW
PartyD,6215,LOW
PartyB,6071,LOW
PartyD,1310,MEDIUM
PartyA,5582,LOW
PartyC,5984,LOW
PartyC,5438,LOW
PartyC,6550,LOW
PartyC,5342,LOW
PartyA,5758,LOW
PartyD,5113,LOW
PartyC,6673,LOW
PartyD,1111,MEDIUM
PartyB,1227,MEDIUM
PartyA,-790,VERY HIGH
PartyD,109,HIGH
PartyC,6253,LOW
PartyA,6526,LOW
PartyB,6045,LOW
PartyB,6574,LOW
PartyA,6256,LOW
PartyB,5007,LOW
PartyB,5656,LOW
PartyC,2328,MEDIUM
PartyB,7224,LOW
PartyA,6804,LOW
PartyC,6746,LOW
PartyA,5668,LOW
PartyA,6106,LOW
PartyA,1096,MEDIUM
PartyB,6067,LOW
PartyD,66,HIGH
PartyB,6534,LOW
PartyC,6028,LOW
PartyD,6702,LOW
PartyB,1239,MEDIUM
PartyC,1814,MEDIUM
PartyB,1966,MEDIUM
PartyD,2383,MEDIUM
PartyB,6057,LOW
PartyC,5106,LOW
PartyA,5010,LOW
PartyD,1821,MEDIUM
PartyD,6856,LOW
PartyD,5909,LOW
PartyA,5014,LOW
PartyC,5825,LOW
PartyB,5672,LOW
PartyD,6616,LOW
PartyA,-120,VERY HIGH
PartyC,1122,MEDIUM
PartyA,1562,MEDIUM
PartyD,1478,MEDIUM
PartyB,6856,LOW
PartyB,5684,LOW
PartyC,-3740,VERY HIGH
PartyB,7510,LOW
PartyB,6760,LOW
PartyD,6105,LOW
PartyC,5416,LOW
PartyC,5904,LOW
PartyD,6000,LOW
PartyD,1654,MEDIUM
PartyA,5341,LOW
PartyD,1182,MEDIUM
PartyD,1612,MEDIUM
PartyD,2334,MEDIUM
PartyB,7944,LOW
PartyC,6219,LOW
PartyB,1046,MEDIUM
PartyD,5034,LOW
PartyD,7050,LOW
PartyC,7167,LOW
PartyC,1101,MEDIUM
PartyA,6794,LOW
PartyC,5428,LOW
PartyC,-5460,VERY HIGH
PartyD,5841,LOW
PartyA,-940,VERY HIGH
PartyB,-525,VERY HIGH
PartyB,6304,LOW
PartyB,-2175,VERY HIGH
PartyD,-1560,VERY HIGH
PartyC,1758,MEDIUM
PartyA,1361,MEDIUM
PartyA,1404,MEDIUM
PartyB,5706,LOW
PartyA,6678,LOW
PartyC,6766,LOW
PartyB,2364,MEDIUM
PartyD,5352,LOW
PartyB,5683,LOW
PartyD,1955,MEDIUM
PartyC,1000,MEDIUM
PartyA,7295,LOW
PartyB,2436,MEDIUM
PartyA,-2460,VERY HIGH
PartyB,5993,LOW
PartyD,-240,VERY HIGH
PartyC,6024,LOW
PartyC,1146,MEDIUM
PartyD,1120,MEDIUM
PartyA,-120,VERY HIGH
PartyC,328,HIGH
PartyC,6955,LOW
PartyB,2360,MEDIUM
PartyD,7776,LOW
PartyC,1384,MEDIUM
PartyD,428,HIGH
PartyD,-3780,VERY HIGH
PartyC,7450,LOW
PartyC,6865,LOW
PartyA,5314,LOW
PartyD,6157,LOW
PartyD,2324,MEDIUM
PartyA,6812,LOW
PartyB,5940,LOW
PartyC,5602,LOW
PartyB,7640,LOW
PartyD,5599,LOW
PartyB,7228,LOW
PartyB,7928,LOW
PartyA,5481,LOW
PartyA,1434,MEDIUM
PartyA,7852,LOW
PartyB,1358,MEDIUM
PartyA,-120,VERY HIGH
PartyB,1650,MEDIUM
PartyA,2442,MEDIUM
PartyC,6024,LOW
PartyC,-1540,VERY HIGH
PartyB,7274,LOW
PartyD,157,HIGH
PartyD,5076,LOW
PartyC,6082,LOW
PartyA,-2680,VERY HIGH
PartyC,6404,LOW
PartyA,1405,MEDIUM
PartyC,2326,MEDIUM
PartyC,158,HIGH
PartyA,1224,MEDIUM
PartyA,-870,VERY HIGH
PartyD,7814,LOW
PartyA,-120,VERY HIGH
PartyC,7818,LOW
PartyD,2308,MEDIUM
PartyB,7463,LOW
PartyD,5000,LOW
PartyC,-2000,VERY HIGH
PartyB,7064,LOW
PartyA,6444,LOW
PartyA,1227,MEDIUM
PartyC,7056,LOW
PartyC,1000,MEDIUM
PartyC,6642,LOW
PartyB,2296,MEDIUM
PartyD,6650,LOW
PartyD,1874,MEDIUM
PartyA,5228,LOW
PartyB,18,HIGH
PartyC,1725,MEDIUM
PartyA,1272,MEDIUM
PartyD,6976,LOW
PartyD,75,HIGH
PartyB,-1580,VERY HIGH
PartyD,6218,LOW
PartyD,6110,LOW
PartyA,2356,MEDIUM
PartyD,6200,LOW
PartyB,1130,MEDIUM
PartyC,1000,MEDIUM
PartyD,5347,LOW
PartyC,2219,MEDIUM
PartyA,157,HIGH
PartyC,6222,LOW
PartyA,-560,VERY HIGH
PartyB,6572,LOW
PartyC,-5640,VERY HIGH
PartyC,6850,LOW
PartyD,2360,MEDIUM
PartyB,5628,LOW
PartyB,5472,LOW
PartyA,1484,MEDIUM
PartyD,6942,LOW
PartyB,0,HIGH
PartyA,1212,MEDIUM
PartyA,6380,LOW
PartyD,5958,LOW
PartyA,6618,LOW
PartyD,-1700,VERY HIGH
PartyA,2160,MEDIUM
PartyC,2464,MEDIUM
PartyD,6653,LOW
PartyA,5052,LOW
PartyD,6448,LOW
PartyC,2434,MEDIUM
PartyD,1442,MEDIUM
PartyC,1000,MEDIUM
PartyD,5066,LOW
PartyB,228,HIGH
PartyD,5323,LOW
PartyB,5890,LOW
PartyD,7121,LOW
PartyB,2466,MEDIUM
PartyC,-1230,VERY HIGH
PartyD,6317,LOW
PartyB,0,HIGH
PartyA,2377,MEDIUM
PartyC,1273,MEDIUM
PartyB,1429,MEDIUM
PartyA,5664,LOW
PartyA,-2100,VERY HIGH
PartyD,-2840,VERY HIGH
PartyB,128,HIGH
PartyB,5258,LOW
PartyD,6441,LOW
PartyA,6802,LOW
PartyD,2262,MEDIUM
PartyD,5807,LOW
PartyB,1606,MEDIUM
PartyA,2044,MEDIUM
PartyD,6840,LOW
PartyC,2132,MEDIUM
PartyC,2189,MEDIUM
PartyD,7190,LOW
PartyD,6295,LOW
PartyC,-6980,VERY HIGH
PartyC,2488,MEDIUM
PartyB,7052,LOW
PartyB,226,HIGH
PartyC,7390,LOW
PartyA,5541,LOW
PartyA,2266,MEDIUM
PartyD,5087,LOW
PartyD,6089,LOW
PartyA,1544,MEDIUM
PartyD,6468,LOW
PartyC,5941,LOW
PartyD,5462,LOW
PartyA,5556,LOW
PartyC,2377,MEDIUM
PartyD,7140,LOW
PartyA,6790,LOW
PartyC,6786,LOW
PartyB,102,HIGH
PartyA,5303,LOW
PartyA,5726,LOW
PartyB,1700,MEDIUM
PartyD,5814,LOW
PartyA,2433,MEDIUM
PartyB,-2100,VERY HIGH
PartyD,7172,LOW
PartyD,5279,LOW
PartyC,6416,LOW
PartyA,6346,LOW
PartyC,6946,LOW
PartyC,7282,LOW
PartyD,7268,LOW
PartyC,7676,LOW
PartyD,96,HIGH
PartyA,1215,MEDIUM
PartyC,6267,LOW
PartyC,1434,MEDIUM
PartyD,6649,LOW
PartyA,7307,LOW
PartyC,6066,LOW
PartyA,5912,LOW
PartyD,1864,MEDIUM
PartyB,6732,LOW
PartyC,1953,MEDIUM
PartyD,5316,LOW
PartyD,1920,MEDIUM
PartyC,5324,LOW
PartyA,7397,LOW
PartyC,6910,LOW
PartyC,1000,MEDIUM
PartyB,1064,MEDIUM
PartyA,7532,LOW
PartyB,2132,MEDIUM
PartyD,5566,LOW
PartyB,1042,MEDIUM
PartyB,-6200,VERY HIGH
PartyC,7644,LOW
PartyC,306,HIGH
PartyA,-120,VERY HIGH
PartyD,5000,LOW
PartyA,1151,MEDIUM
PartyD,5920,LOW
PartyD,1310,MEDIUM
PartyC,7075,LOW
PartyD,5082,LOW
PartyC,-7080,VERY HIGH
PartyC,6,HIGH
PartyA,7698,LOW
PartyA,1180,MEDIUM
PartyD,1580,MEDIUM
PartyA,6146,LOW
PartyD,7197,LOW
PartyB,1000,MEDIUM
PartyC,1784,MEDIUM
PartyA,-120,VERY HIGH
PartyC,-780,VERY HIGH
PartyB,0,HIGH
PartyC,1183,MEDIUM
PartyC,6259,LOW
PartyC,5367,LOW
PartyD,2446,MEDIUM
PartyB,-830,VERY HIGH
PartyC,7334,LOW
PartyA,1938,MEDIUM
PartyA,2493,MEDIUM
PartyB,1762,MEDIUM
PartyD,5460,LOW
PartyB,-4960,VERY HIGH
PartyB,1965,MEDIUM
PartyB,0,HIGH
PartyD,5750,LOW
PartyB,6868,LOW
PartyA,1334,MEDIUM
PartyA,1792,MEDIUM
PartyA,1961,MEDIUM
PartyA,1101,MEDIUM
PartyD,5000,LOW
PartyB,1080,MEDIUM
PartyA,6250,LOW
PartyA,74,HIGH
PartyC,7136,LOW
PartyA,1054,MEDIUM
PartyB,7648,LOW
PartyD,-4140,VERY HIGH
PartyC,1185,MEDIUM
PartyD,5446,LOW
PartyC,6392,LOW
PartyA,1578,MEDIUM
PartyA,174,HIGH
PartyD,1285,MEDIUM
PartyD,6159,LOW
PartyC,6611,LOW
PartyB,5029,LOW
PartyC,7430,LOW
PartyC,1000,MEDIUM
PartyA,-1000,VERY HIGH
PartyC,176,HIGH
PartyB,2232,MEDIUM
PartyD,5659,LOW
PartyA,5749,LOW
PartyD,6068,LOW
PartyA,1177,MEDIUM
PartyD,7706,LOW
PartyB,-2060,VERY HIGH
PartyA,6476,LOW
PartyA,7374,LOW
PartyA,5558,LOW
PartyA,-120,VERY HIGH
PartyD,5200,LOW
PartyB,2107,MEDIUM
PartyB,5900,LOW
PartyA,1548,MEDIUM
PartyA,1982,MEDIUM
PartyA,1006,MEDIUM
PartyD,1848,MEDIUM
PartyD,1178,MEDIUM
PartyC,2346,MEDIUM
PartyB,1343,MEDIUM
PartyB,1607,MEDIUM
PartyD,5766,LOW
PartyB,5182,LOW
PartyB,7370,LOW
PartyC,1296,MEDIUM
PartyA,6343,LOW
PartyD,6178,LOW
PartyA,7115,LOW
PartyC,2352,MEDIUM
PartyD,27,HIGH
PartyA,1393,MEDIUM
PartyC,1420,MEDIUM
PartyB,5607,LOW
PartyD,7924,LOW
PartyC,6512,LOW
PartyC,-2170,VERY HIGH
PartyA,2274,MEDIUM
PartyB,1374,MEDIUM
PartyB,-1700,VERY HIGH
PartyA,5934,LOW
PartyB,7560,LOW
PartyC,6824,LOW
PartyD,2358,MEDIUM
PartyC,6557,LOW
PartyA,5427,LOW
PartyD,1949,MEDIUM
PartyD,1402,MEDIUM
PartyD,7070,LOW
PartyA,1495,MEDIUM
PartyC,1040,MEDIUM
PartyD,101,HIGH
PartyD,7470,LOW
PartyD,5021,LOW
PartyB,5752,LOW
PartyD,7430,LOW
PartyC,1000,MEDIUM
PartyC,1012,MEDIUM
PartyD,7025,LOW
PartyA,7746,LOW
PartyC,1692,MEDIUM
PartyD,7094,LOW
PartyB,5302,LOW
PartyD,326,HIGH
PartyB,2363,MEDIUM
PartyA,-1280,VERY HIGH
PartyC,2370,MEDIUM
PartyB,1712,MEDIUM
PartyD,5272,LOW
PartyA,58,HIGH
PartyC,6626,LOW
PartyC,7002,LOW
PartyC,5097,LOW
PartyD,5564,LOW
PartyC,6592,LOW
PartyB,-4400,VERY HIGH
PartyA,6371,LOW
PartyA,5230,LOW
PartyC,2058,MEDIUM
PartyC,6455,LOW
PartyB,-2200,VERY HIGH
PartyA,5418,LOW
PartyB,5760,LOW
PartyA,5856,LOW
PartyC,7408,LOW
PartyD,5627,LOW
PartyD,7185,LOW
PartyA,6558,LOW
PartyD,1546,MEDIUM
PartyB,1420,MEDIUM
PartyC,1092,MEDIUM
PartyA,1684,MEDIUM
PartyA,6252,LOW
PartyB,1241,MEDIUM
PartyB,5953,LOW
PartyC,1584,MEDIUM
PartyB,1564,MEDIUM
PartyD,5426,LOW
PartyD,1644,MEDIUM
PartyD,5714,LOW
PartyC,208,HIGH
PartyC,2032,MEDIUM
PartyC,6810,LOW
PartyA,-120,VERY HIGH
PartyB,5143,LOW
PartyD,7294,LOW
PartyD,1550,MEDIUM
PartyA,2343,MEDIUM
PartyA,7476,LOW
PartyD,1274,MEDIUM
PartyC,5739,LOW
PartyD,6038,LOW
PartyB,5915,LOW
PartyA,250,HIGH
PartyB,52,HIGH
PartyB,1243,MEDIUM
PartyD,128,HIGH
PartyA,6945,LOW
PartyB,7102,LOW
PartyC,6953,LOW
PartyD,1726,MEDIUM
PartyB,-500,VERY HIGH
PartyA,6310,LOW
PartyB,7968,LOW
PartyB,1872,MEDIUM
PartyD,5738,LOW
PartyD,2246,MEDIUM
PartyB,0,HIGH
PartyA,2156,MEDIUM
PartyD,149,HIGH
PartyB,1191,MEDIUM
PartyD,5244,LOW
PartyD,1952,MEDIUM
PartyB,0,HIGH
PartyB,-770,VERY HIGH
PartyD,7056,LOW
PartyD,87,HIGH
PartyD,2215,MEDIUM
PartyA,5702,LOW
PartyA,1351,MEDIUM
PartyA,6018,LOW
PartyA,6628,LOW
PartyB,1806,MEDIUM
PartyB,6530,LOW
PartyA,6370,LOW
PartyB,164,HIGH
PartyD,2208,MEDIUM
PartyD,6980,LOW
PartyD,5978,LOW
PartyA,6394,LOW
PartyD,5000,LOW
PartyA,2070,MEDIUM
PartyB,5134,LOW
PartyB,5802,LOW
PartyA,5340,LOW
PartyD,1588,MEDIUM
PartyB,5492,LOW
PartyB,7106,LOW
PartyB,1108,MEDIUM
PartyD,7240,LOW
PartyA,5264,LOW
PartyA,5641,LOW
PartyA,1052,MEDIUM
PartyB,6097,LOW
PartyA,5017,LOW
PartyC,148,HIGH
PartyA,2128,MEDIUM
PartyD,6996,LOW
PartyD,5406,LOW
PartyC,5496,LOW
PartyB,5254,LOW
PartyD,7051,LOW
PartyB,2226,MEDIUM
PartyA,6204,LOW
PartyC,5434,LOW
PartyC,7460,LOW
PartyD,5196,LOW
PartyA,2072,MEDIUM
PartyA,6040,LOW
PartyD,6772,LOW
PartyD,5358,LOW
PartyB,2487,MEDIUM
PartyC,5951,LOW
PartyD,6042,LOW
PartyD,6312,LOW
PartyD,-3320,VERY HIGH
PartyC,5242,LOW
PartyA,7075,LOW
PartyB,5300,LOW
PartyA,6172,LOW
PartyD,-1410,VERY HIGH
PartyD,2276,MEDIUM
PartyC,5289,LOW
PartyA,-260,VERY HIGH
PartyC,1000,MEDIUM
PartyC,2028,MEDIUM
PartyA,5107,LOW
PartyC,1626,MEDIUM
PartyB,1369,MEDIUM
PartyD,71,HIGH
PartyB,-7520,VERY HIGH
PartyB,22,HIGH
PartyB,-1940,VERY HIGH
PartyC,-7500,VERY HIGH
PartyB,7568,LOW
PartyA,5242,LOW
PartyA,7134,LOW
PartyC,1182,MEDIUM
PartyD,1356,MEDIUM
PartyD,7372,LOW
PartyD,6710,LOW
PartyB,6195,LOW
PartyB,1648,MEDIUM
PartyB,7630,LOW
PartyC,7822,LOW
PartyB,6960,LOW
PartyA,-2500,VERY HIGH
PartyC,6731,LOW
PartyC,-660,VERY HIGH
PartyB,6428,LOW
PartyC,1210,MEDIUM
PartyA,1423,MEDIUM
PartyA,6306,LOW
PartyA,-120,VERY HIGH
PartyB,1428,MEDIUM
PartyD,6760,LOW
PartyA,5346,LOW
PartyC,1000,MEDIUM
PartyC,2146,MEDIUM
PartyB,1593,MEDIUM
PartyA,1995,MEDIUM
PartyB,-500,VERY HIGH
PartyD,5000,LOW
PartyD,-1660,VERY HIGH
PartyB,-1480,VERY HIGH
PartyA,2476,MEDIUM
PartyB,5218,LOW
PartyA,-1420,VERY HIGH
PartyA,1984,MEDIUM
PartyD,5040,LOW
PartyC,1150,MEDIUM
PartyD,6705,LOW
PartyB,6724,LOW
PartyD,5894,LOW
PartyB,7362,LOW
PartyA,6248,LOW
PartyA,5823,LOW
PartyC,5292,LOW
PartyB,1406,MEDIUM
PartyA,2190,MEDIUM
PartyC,7876,LOW
PartyD,7344,LOW
PartyD,-1575,VERY HIGH
PartyC,1458,MEDIUM
PartyA,1805,MEDIUM
PartyA,5918,LOW
PartyA,6403,LOW
PartyA,6220,LOW
PartyD,7005,LOW
PartyB,7130,LOW
PartyB,1606,MEDIUM
PartyC,5669,LOW
PartyA,1790,MEDIUM
PartyB,7030,LOW
PartyB,-3660,VERY HIGH
PartyD,1428,MEDIUM
PartyB,1144,MEDIUM
PartyC,1756,MEDIUM
PartyB,2346,MEDIUM
PartyA,-3680,VERY HIGH
PartyB,7364,LOW
PartyD,-1950,VERY HIGH
PartyC,280,HIGH
PartyD,7352,LOW
PartyA,6886,LOW
PartyB,-7420,VERY HIGH
PartyB,2358,MEDIUM
PartyD,2034,MEDIUM
PartyB,1126,MEDIUM
PartyC,2092,MEDIUM
PartyA,116,HIGH
PartyB,5340,LOW
PartyB,0,HIGH
PartyA,5755,LOW
PartyA,1297,MEDIUM
PartyA,1103,MEDIUM
PartyA,1038,MEDIUM
PartyB,5836,LOW
PartyB,6300,LOW
PartyD,1810,MEDIUM
PartyB,6190,LOW
PartyC,7316,LOW
PartyD,5000,LOW
PartyD,5126,LOW
PartyA,5777,LOW
PartyC,1100,MEDIUM
PartyD,1765,MEDIUM
PartyB,7486,LOW
PartyB,5466,LOW
PartyD,284,HIGH
PartyA,5516,LOW
PartyD,1666,MEDIUM
PartyB,2455,MEDIUM
PartyB,7352,LOW
PartyA,6421,LOW
PartyC,2172,MEDIUM
PartyA,7900,LOW
PartyC,6403,LOW
PartyC,5892,LOW
PartyA,-120,VERY HIGH
PartyB,5084,LOW
PartyD,6232,LOW
PartyD,2080,MEDIUM
PartyB,1562,MEDIUM
PartyB,6164,LOW
PartyC,1884,MEDIUM
PartyC,5611,LOW
PartyD,1538,MEDIUM
PartyC,5840,LOW
PartyD,6017,LOW
PartyC,5776,LOW
PartyD,7363,LOW
PartyA,95,HIGH
PartyC,438,HIGH
PartyB,6310,LOW
PartyB,6658,LOW
PartyC,6058,LOW
PartyC,2378,MEDIUM
PartyB,1446,MEDIUM
PartyB,-850,VERY HIGH
PartyC,1763,MEDIUM
PartyC,5238,LOW
PartyA,-180,VERY HIGH
PartyA,7626,LOW
PartyB,0,HIGH
PartyA,-1100,VERY HIGH
PartyD,-2820,VERY HIGH
PartyC,1198,MEDIUM
PartyC,1387,MEDIUM
PartyB,5646,LOW
PartyD,2142,MEDIUM
PartyD,2294,MEDIUM
PartyB,6808,LOW
PartyC,6002,LOW
PartyB,-1990,VERY HIGH
PartyD,5571,LOW
PartyC,6750,LOW
PartyB,2198,MEDIUM
PartyC,7394,LOW
PartyD,7280,LOW
PartyD,1075,MEDIUM
PartyD,5388,LOW
PartyA,7099,LOW
PartyA,6098,LOW
PartyA,1434,MEDIUM
PartyD,5768,LOW
PartyD,-4240,VERY HIGH
PartyD,5322,LOW
PartyC,1384,MEDIUM
PartyC,1022,MEDIUM
PartyC,2154,MEDIUM
PartyA,6168,LOW
PartyC,1423,MEDIUM
PartyD,6298,LOW
PartyA,5690,LOW
PartyA,7408,LOW
PartyC,1090,MEDIUM
PartyA,5033,LOW
PartyB,6174,LOW
PartyC,-890,VERY HIGH
PartyD,6498,LOW
PartyC,336,HIGH
PartyA,7024,LOW
PartyB,7124,LOW
PartyB,7258,LOW
PartyC,7448,LOW
PartyC,5430,LOW
PartyC,6304,LOW
PartyB,7048,LOW
PartyB,1464,MEDIUM
PartyD,5979,LOW
PartyB,7954,LOW
PartyB,5453,LOW
PartyB,5437,LOW
PartyB,5130,LOW
